time:0,time:1,time:2,time:3,time:4,time:5,time:6,time:7,time:8,time:9,time:10,time:11,time:12,time:13,time:14,time:15,time:16,time:17,time:18,time:19,time:20,time:21,time:22,time:23,level
0,3,6,6,5,2,1,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,6,5,2,1,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
6,6,5,2,1,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1
6,5,2,1,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,1
5,2,1,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,5,1
2,1,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,5,5,0
1,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,5,5,3,0
1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,5,5,3,2,0
2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,5,5,3,2,1,0,0
