time:0,time:1,time:2,time:3,time:4,time:5,time:6,time:7,time:8,time:9,time:10,time:11,time:12,time:13,time:14,time:15,time:16,time:17,time:18,time:19,time:20,time:21,time:22,time:23,level
0,4,9,7,5,0,0,3,2,2,4,3,4,0,0,0,0,0,0,0,0,0,0,0,1
4,9,7,5,0,0,3,2,2,4,3,4,0,0,0,0,0,0,0,0,0,0,0,4,2
9,7,5,0,0,3,2,2,4,3,4,0,0,0,0,0,0,0,0,0,0,0,4,9,2
7,5,0,0,3,2,2,4,3,4,0,0,0,0,0,0,0,0,0,0,0,4,9,8,1
0,0,3,2,2,4,3,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
0,3,2,2,4,3,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0
3,2,2,4,3,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,2,0
2,2,4,3,4,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,2,3,0
